contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1722_length_301_cov_1.116071,4,301,1.116071,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_173_length_670_cov_0.548061,11,670,0.548061,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1732_length_301_cov_0.665179,4,301,0.665179,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1739_length_300_cov_1.600897,6,300,1.600897,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7385,7384,7381,7147,50557,6656,33208,2759,Eukaryota,TMW54903.1,79.798,99,20,2.48e-52,174.0
NODE_174_length_667_cov_0.469492,7,667,0.469492,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1740_length_300_cov_1.399103,5,300,1.399103,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1741_length_300_cov_1.291480,5,300,1.291480,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,217634,157304,34667,7041,50557,6656,33208,2759,Eukaryota,XP_018561178.1,87.097,31,4,9.95e-14,60.1
NODE_1742_length_300_cov_1.134529,4,300,1.134529,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_001652781.3,86.622,299,40,8.84e-88,331.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_019533080.2,97.98,99,2,1.74e-66,213.0
NODE_1743_length_300_cov_1.013453,4,300,1.013453,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001654133.2,89.691,97,10,1.26e-61,192.0
NODE_1745_length_300_cov_0.991031,4,300,0.991031,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,105785,60568,46562,85823,50557,6656,33208,2759,Eukaryota,XP_023727392.1,81.818,99,18,1.33e-61,182.0
NODE_175_length_664_cov_0.570698,12,664,0.570698,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1751_length_300_cov_0.695067,4,300,0.695067,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_019526999.2,81.633,98,18,9.81e-51,169.0
NODE_1757_length_299_cov_1.954955,12,299,1.954955,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1758_length_299_cov_1.554054,5,299,1.554054,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_019545677.1,92.929,99,7,3.82e-63,199.0
NODE_1759_length_299_cov_1.328829,4,299,1.328829,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021708252.1,77.228,101,21,2.56e-44,152.0
NODE_176_length_663_cov_0.619454,7,663,0.619454,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1761_length_299_cov_0.972973,4,299,0.972973,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1762_length_299_cov_0.932432,4,299,0.932432,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1763_length_299_cov_0.900901,4,299,0.900901,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001652172.1,42.105,95,50,7.8e-16,70.9
NODE_1764_length_299_cov_0.860360,4,299,0.860360,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1766_length_299_cov_0.711712,4,299,0.711712,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_177_length_660_cov_2.217839,21,660,2.217839,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,38358,35571,7184,7147,50557,6656,33208,2759,Eukaryota,XP_037048248.1,50.254,197,89,5.61e-42,150.0
NODE_1771_length_298_cov_1.339367,4,298,1.339367,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029732591.1,55.682,88,38,7.84e-29,107.0
NODE_1772_length_298_cov_1.339367,4,298,1.339367,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021702837.1,91.919,99,8,1.04e-57,190.0
NODE_1773_length_298_cov_1.339367,4,298,1.339367,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1774_length_298_cov_1.108597,4,298,1.108597,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1776_length_298_cov_0.972851,8,298,0.972851,189979,189978,52729,7147,50557,6656,33208,2759,Eukaryota,OU343116.1,89.262,298,32,1.44e-100,374.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001663729.1,97.436,78,2,3.76e-51,157.0
NODE_1777_length_298_cov_0.837104,4,298,0.837104,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_178_length_660_cov_1.138937,12,660,1.138937,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1784_length_298_cov_0.610860,4,298,0.610860,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,42155,6278,6296,6236,119089,6231,33208,2759,Eukaryota,VDO12276.1,66.667,75,25,6.83e-30,110.0
NODE_1788_length_297_cov_5.990909,40,297,5.990909,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1789_length_297_cov_1.345455,4,297,1.345455,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_179_length_658_cov_1.056799,12,658,1.056799,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,343691,343581,34687,7147,50557,6656,33208,2759,Eukaryota,XP_037908218.1,51.913,183,80,1.68e-33,119.0
NODE_1790_length_297_cov_1.050000,4,297,1.050000,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,42155,6278,6296,6236,119089,6231,33208,2759,Eukaryota,VDO10445.1,60.227,88,35,4.53e-33,119.0
NODE_1791_length_297_cov_0.963636,4,297,0.963636,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029710247.1,43.878,98,55,4.6e-19,79.7
NODE_1796_length_297_cov_0.763636,4,297,0.763636,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_18_length_1288_cov_2.605285,53,1288,2.605285,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_180_length_658_cov_0.691910,6,658,0.691910,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1804_length_297_cov_0.604545,4,297,0.604545,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_181_length_655_cov_1.084775,37,655,1.084775,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1810_length_297_cov_0.518182,4,297,0.518182,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1811_length_296_cov_1.310502,4,296,1.310502,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1812_length_296_cov_1.027397,4,296,1.027397,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1813_length_296_cov_0.981735,4,296,0.981735,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1818_length_296_cov_0.625571,4,296,0.625571,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_182_length_653_cov_1.397569,14,653,1.397569,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,3052631,1980421,1980418,1980410,2497576,2497569,2732396,10239,Viruses,UKZ11877.1,72.093,215,60,4.23e-96,306.0
NODE_1821_length_295_cov_1.454128,6,295,1.454128,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,568069,315556,7149,7147,50557,6656,33208,2759,Eukaryota,CRK93737.1,46.939,98,49,1.43e-22,89.7
NODE_1822_length_295_cov_1.256881,4,295,1.256881,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1823_length_295_cov_1.215596,4,295,1.215596,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1824_length_295_cov_0.917431,4,295,0.917431,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1825_length_295_cov_0.903670,5,295,0.903670,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1827_length_295_cov_0.885321,4,295,0.885321,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001649784.1,81.443,97,18,9.81e-54,175.0
NODE_183_length_653_cov_0.697917,13,653,0.697917,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1831_length_295_cov_0.738532,4,295,0.738532,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XR_002498584.1,87.736,106,12,5.68e-25,122.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1836_length_294_cov_1.202765,4,294,1.202765,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1837_length_294_cov_1.023041,4,294,1.023041,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_021841030.1,91.438,292,25,6.49e-109,401.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029725946.1,98.969,97,1,1.1e-63,207.0
NODE_184_length_651_cov_0.653310,6,651,0.653310,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1840_length_294_cov_1.013825,4,294,1.013825,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029864210.1,89.116,294,32,2.37e-98,366.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029720055.1,96.939,98,3,1.98e-58,192.0
NODE_1844_length_294_cov_0.834101,4,294,0.834101,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_185_length_650_cov_0.869110,9,650,0.869110,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021706992.1,66.514,218,71,9.2e-92,286.0
NODE_1855_length_293_cov_1.537037,9,293,1.537037,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1856_length_293_cov_1.208333,6,293,1.208333,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1857_length_293_cov_1.092593,4,293,1.092593,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1859_length_293_cov_1.018519,4,293,1.018519,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EAT48927.1,70.103,97,27,4.88e-44,145.0
NODE_186_length_650_cov_0.541012,18,650,0.541012,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_187_length_647_cov_2.231579,28,647,2.231579,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029865888.1,82.331,532,92,2.47e-126,460.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029721764.1,66.279,172,57,5.69e-64,203.0
NODE_1872_length_292_cov_1.567442,5,292,1.567442,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029717840.1,70.968,62,18,1.21e-35,99.0
NODE_1873_length_292_cov_1.069767,4,292,1.069767,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1874_length_292_cov_1.055814,4,292,1.055814,124917,124916,7157,7147,50557,6656,33208,2759,Eukaryota,AY440374.1,94.891,137,7,9.01e-53,215.0,74873,7164,7157,7147,50557,6656,33208,2759,Eukaryota,KFB41339.1,90.909,44,4,5.23e-25,89.0
NODE_1875_length_292_cov_1.037209,4,292,1.037209,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_188_length_647_cov_0.747368,13,647,0.747368,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1882_length_292_cov_0.586047,4,292,0.586047,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1884_length_292_cov_0.511628,4,292,0.511628,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1885_length_291_cov_2.074766,6,291,2.074766,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1886_length_291_cov_1.803738,8,291,1.803738,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1887_length_291_cov_0.855140,4,291,0.855140,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_189_length_644_cov_9.636684,131,644,9.636684,503348,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KJ940802.1,94.316,651,17,0.0,979.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1896_length_291_cov_0.588785,4,291,0.588785,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1897_length_290_cov_2.539906,11,290,2.539906,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,CR938352.1,82.377,244,42,1.16e-51,211.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,AAM34268.1,81.25,96,18,2.72e-54,168.0
NODE_19_length_1257_cov_0.577119,20,1257,0.577119,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_190_length_644_cov_0.580247,7,644,0.580247,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EF173368.1,85.425,247,32,4.48e-64,254.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EJY57587.1,69.231,39,12,1.52e-12,60.1
NODE_1903_length_290_cov_0.863850,4,290,0.863850,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_191_length_643_cov_0.637809,13,643,0.637809,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1912_length_290_cov_0.615023,4,290,0.615023,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1913_length_290_cov_0.572770,4,290,0.572770,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021707150.1,92.708,96,7,3.11e-54,180.0
NODE_1915_length_289_cov_1.396226,4,289,1.396226,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1916_length_289_cov_1.391509,4,289,1.391509,189513,7521,7520,7516,50557,6656,33208,2759,Eukaryota,FR997758.1,84.848,198,28,8.97e-48,198.0,265458,153220,33406,7147,50557,6656,33208,2759,Eukaryota,XP_031629261.1,87.097,93,11,2.5e-53,166.0
NODE_1917_length_289_cov_1.047170,4,289,1.047170,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1919_length_289_cov_1.014151,4,289,1.014151,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_192_length_643_cov_0.595406,9,643,0.595406,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1920_length_289_cov_0.990566,4,289,0.990566,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1922_length_289_cov_0.933962,4,289,0.933962,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1925_length_289_cov_0.801887,4,289,0.801887,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_019700372.2,87.197,289,37,3.05e-87,329.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021701071.1,91.667,96,8,9.97e-46,152.0
NODE_1927_length_289_cov_0.764151,4,289,0.764151,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_193_length_642_cov_0.306195,6,642,0.306195,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1930_length_289_cov_0.698113,4,289,0.698113,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1931_length_289_cov_0.693396,4,289,0.693396,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1932_length_288_cov_1.194313,4,288,1.194313,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1933_length_288_cov_1.090047,4,288,1.090047,28612,28609,7211,7147,50557,6656,33208,2759,Eukaryota,MN507551.1,95.833,288,11,7.98e-128,464.0,206403,265570,2771472,213849,3031852,29547,-650,2,Bacteria,PTB83462.1,91.304,46,4,6.35e-26,90.5
NODE_1934_length_288_cov_0.905213,4,288,0.905213,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EU458356.1,99.653,288,1,1e-146,527.0,91915,91914,433,204441,28211,1224,-650,2,Bacteria,CDG40808.1,63.218,87,28,2.46e-23,90.9
NODE_1935_length_288_cov_0.838863,4,288,0.838863,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1936_length_288_cov_0.805687,4,288,0.805687,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_194_length_640_cov_0.856128,9,640,0.856128,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_019682014.2,80.922,629,115,8.66e-136,492.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KXJ82608.1,85.047,214,31,1.85e-121,375.0
NODE_1946_length_287_cov_1.409524,4,287,1.409524,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KXJ72918.1,81.053,95,18,2.15e-47,159.0
NODE_1947_length_287_cov_1.238095,4,287,1.238095,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1948_length_287_cov_1.147619,5,287,1.147619,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_195_length_640_cov_0.676732,7,640,0.676732,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1951_length_287_cov_0.890476,4,287,0.890476,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KXJ80810.1,63.235,68,25,5.07e-27,96.7
NODE_1958_length_286_cov_1.698565,5,286,1.698565,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1959_length_286_cov_1.311005,5,286,1.311005,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_196_length_639_cov_0.619217,10,639,0.619217,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1962_length_286_cov_0.894737,4,286,0.894737,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1964_length_286_cov_0.866029,4,286,0.866029,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1966_length_286_cov_0.818182,4,286,0.818182,179676,41820,41819,7147,50557,6656,33208,2759,Eukaryota,LN483508.1,91.111,90,7,1.97e-24,121.0,35570,35569,7366,7147,50557,6656,33208,2759,Eukaryota,XP_013108363.1,95.789,95,4,4.15e-57,183.0
NODE_197_length_639_cov_0.613879,5,639,0.613879,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1972_length_285_cov_1.423077,4,285,1.423077,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EAT45521.1,75.0,96,22,6.45e-41,138.0
NODE_1973_length_285_cov_1.298077,4,285,1.298077,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021699832.1,41.414,99,47,3.53e-11,57.4
NODE_1977_length_285_cov_0.927885,4,285,0.927885,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_198_length_631_cov_0.550542,6,631,0.550542,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1982_length_285_cov_0.759615,4,285,0.759615,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029721242.1,67.033,91,28,4.49e-18,77.0
NODE_1985_length_285_cov_0.687500,4,285,0.687500,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_199_length_630_cov_0.432188,7,630,0.432188,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1992_length_285_cov_0.360577,4,285,0.360577,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1993_length_284_cov_1.193237,4,284,1.193237,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2010268,-200,-300,-400,-500,-600,-650,10239,Viruses,YP_009388601.1,70.213,94,28,2.32e-43,146.0
NODE_1994_length_284_cov_1.149758,4,284,1.149758,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1995_length_284_cov_1.062802,4,284,1.062802,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,AAZ15240.1,61.333,75,29,2.75e-28,105.0
NODE_1996_length_284_cov_1.038647,5,284,1.038647,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_2_length_2195_cov_4.203494,172,2195,4.203494,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XR_002135116.2,88.235,85,9,2.18e-17,100.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_20_length_1242_cov_0.897854,32,1242,0.897854,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_200_length_629_cov_0.757246,9,629,0.757246,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_2000_length_284_cov_0.956522,4,284,0.956522,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,174621,174620,7157,7147,50557,6656,33208,2759,Eukaryota,XP_055526931.1,63.265,98,31,1.18e-34,119.0
